Titulo;Rua;Metros;Quartos;Banheiro;Garagem;Preço;Link;Id;Concatenados
Setor Marista, Goiânia;;293 m²;4;5;4;R$ 5.613.371;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-setor-marista-goiania-293m2-id-2795430429/?source=ranking%2Crp;2795430429;Setor Marista, Goiânianan293 m²45R$ 5.613.371
Setor Marista, Goiânia;Rua 1123;72 m²;2;2;1;R$ 869.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-2-quartos-com-piscina-setor-marista-goiania-72m2-id-2805663408/?source=ranking%2Crp;2805663408;Setor Marista, GoiâniaRua 112372 m²22R$ 869.000
Setor Marista, Goiânia;Rua 146;130 m²;3;4;2;R$ 1.250.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-setor-marista-goiania-130m2-id-2616921212/?source=ranking%2Crp;2616921212;Setor Marista, GoiâniaRua 146130 m²34R$ 1.250.000
Setor Marista, Goiânia;Alameda Coronel Eugênio Jardim;266 m²;4;4;4;R$ 3.710.881;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-setor-marista-goiania-266m2-id-2800317232/?source=ranking%2Crp;2800317232;Setor Marista, GoiâniaAlameda Coronel Eugênio Jardim266 m²44R$ 3.710.881
Setor Marista, Goiânia;Rua 135;180 m²;3;4;3;R$ 2.000.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-academia-setor-marista-goiania-180m2-id-2737674817/?source=ranking%2Crp;2737674817;Setor Marista, GoiâniaRua 135180 m²34R$ 2.000.000
Setor Marista, Goiânia;Rua 1141;221 m²;3;5;3;R$ 2.290.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-setor-marista-goiania-221m2-id-2764632962/?source=ranking%2Crp;2764632962;Setor Marista, GoiâniaRua 1141221 m²35R$ 2.290.000
Setor Marista, Goiânia;Rua 1128;150 m²;3;5;3;R$ 1.860.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-setor-marista-goiania-150m2-id-2805756361/?source=ranking%2Crp;2805756361;Setor Marista, GoiâniaRua 1128150 m²35R$ 1.860.000
Setor Marista, Goiânia;Rua 135;278 m²;3;5;3;R$ 3.200.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-com-piscina-setor-marista-goiania-278m2-id-2778910536/?source=ranking%2Crp;2778910536;Setor Marista, GoiâniaRua 135278 m²35R$ 3.200.000
Setor Marista, Goiânia;Rua 1141;177 m²;3;5;3;R$ 2.600.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-setor-marista-goiania-177m2-id-2804627343/?source=ranking%2Crp;2804627343;Setor Marista, GoiâniaRua 1141177 m²35R$ 2.600.000
Setor Marista, Goiânia;Rua 13;226 m²;4;5;3;R$ 2.690.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-4-quartos-com-piscina-setor-marista-goiania-226m2-id-2784866319/?source=ranking%2Crp;2784866319;Setor Marista, GoiâniaRua 13226 m²45R$ 2.690.000
Setor Marista, Goiânia;;125 m²;3;4;2;R$ 1.494.000;https://www.zapimoveis.com.br/imovel/venda-apartamento-3-quartos-mobiliado-setor-marista-goiania-125m2-id-2807046822/?source=ranking%2Crp;2807046822;Setor Marista, Goiânianan125 m²34R$ 1.494.000
